Total path length: 3.0 miles
Total points: 11
0 0 0
0.0015944537934791754 0.0040449114678666985 104.43193620501128
0.0008201230228508103 0.008323229307868506 111.46587945670355
0.002751795571982148 0.01221838435553376 115.15088551002108
0.005495188671484687 0.008845346261467593 119.89912867865053
0.003859515863585741 0.004816926453662101 102.43784256604752
0.007096859600282073 0.007719200943246554 101.58991872443448
0.004349480908957322 0.004349408366710965 113.05070299102098
0.008364433669964023 0.002680952191288808 120.2057562626928
0.010228731450349044 0.0066087996257586275 109.90539873979247
0.014078286207790442 0.004587780117718203 105.38397408394735
