Total path length: 2.9999999999996336 miles
Total points: 11
38.31633 -76.55578 142
38.31779243580452 -76.55987449303333 119.67964020171084
38.322062944605214 -76.56069079338592 112.33656649557537
38.318942775025796 -76.56371868596625 122.63367467997385
38.31483293116791 -76.56513740903516 122.58189908595965
38.31132974571092 -76.56771253686428 100.91440508286705
38.309895474495384 -76.56360809320371 100.66057222595619
38.312744632505975 -76.56032390528078 119.4142481640991
38.309705850699025 -76.55721433990726 101.72802511857644
38.30666949061357 -76.5541024097805 111.93185185933585
38.30942414610581 -76.55073856305368 104.03302408994928
